,accuracy,precision,recall,f1,loss
929,0.96875,0.999999999990909,0.9166666666590277,0.9565217390722117,0.186747744679451
930,1.0,0.99999999999,0.99999999999,0.99999999994,0.007378558162599802
931,1.0,0.9999999999923077,0.9999999999923077,0.9999999999423077,0.07042977213859558
932,0.96875,0.9333333333271111,0.9999999999928572,0.965517241322711,0.05655670911073685
933,0.96875,0.9374999999941407,0.9999999999933333,0.9677419354276795,0.05634292587637901
934,0.96875,0.9999999999888889,0.899999999991,0.9473684209927978,0.12814795970916748
935,1.0,0.9999999999937501,0.9999999999937501,0.9999999999437501,0.005794450640678406
936,1.0,0.99999999999,0.99999999999,0.99999999994,0.006197746843099594
937,1.0,0.99999999999,0.99999999999,0.99999999994,0.026395976543426514
938,1.0,0.9999999999916667,0.9999999999916667,0.9999999999416667,0.0067805699072778225
939,0.9375,0.8461538461473372,0.999999999990909,0.916666666609375,0.17162127792835236
940,1.0,0.9999999999933333,0.9999999999933333,0.9999999999433333,0.010409599170088768
941,1.0,0.9999999999928572,0.9999999999928572,0.9999999999428573,0.0011185172479599714
942,1.0,0.9999999999933333,0.9999999999933333,0.9999999999433333,0.017730318009853363
943,1.0,0.9999999999916667,0.9999999999916667,0.9999999999416667,0.011020483449101448
944,1.0,0.9999999999923077,0.9999999999923077,0.9999999999423077,0.003981621935963631
945,1.0,0.9999999999923077,0.9999999999923077,0.9999999999423077,0.043124351650476456
946,0.96875,0.9999999999888889,0.899999999991,0.9473684209927978,0.10775695741176605
947,1.0,0.9999999999916667,0.9999999999916667,0.9999999999416667,0.027430733665823936
948,1.0,0.9999999999923077,0.9999999999923077,0.9999999999423077,0.010089165531098843
949,1.0,0.9999999999916667,0.9999999999916667,0.9999999999416667,0.014350507408380508
950,1.0,0.9999999999923077,0.9999999999923077,0.9999999999423077,0.00295968702994287
951,1.0,0.9999999999888889,0.9999999999888889,0.9999999999388889,0.032379962503910065
952,1.0,0.9999999999941177,0.9999999999941177,0.9999999999441178,0.02239161729812622
953,1.0,0.999999999990909,0.999999999990909,0.999999999940909,0.011261587031185627
954,1.0,0.9999999999875,0.9999999999875,0.9999999999375,0.016701631247997284
955,0.96875,0.9230769230698225,0.9999999999916667,0.9599999999424,0.03648146614432335
956,1.0,0.9999999999916667,0.9999999999916667,0.9999999999416667,0.046139758080244064
957,1.0,0.9999999999941177,0.9999999999941177,0.9999999999441178,0.0025580311194062233
958,1.0,0.9999999999933333,0.9999999999933333,0.9999999999433333,0.02958446741104126
959,0.96875,0.8888888888790123,0.9999999999875,0.9411764705273357,0.20362649857997894
960,1.0,0.9999999999941177,0.9999999999941177,0.9999999999441178,0.014341289177536964
